event,type,time,stamp,data0,data1,data2
203,com.google.wear.sensor.ppg,2022-11-06T00:49:37.112,3471650107683,9644556.0,2.9751448E7,0.0
204,com.google.wear.sensor.ppg,2022-11-06T00:49:37.113,3471660041640,9641917.0,2.976214E7,0.0
205,com.google.wear.sensor.ppg,2022-11-06T00:49:37.113,3471669975597,9645188.0,2.9755936E7,0.0
206,com.google.wear.sensor.ppg,2022-11-06T00:49:37.114,3471679909554,9642794.0,2.9757448E7,0.0
207,com.google.wear.sensor.ppg,2022-11-06T00:49:37.114,3471689843511,9638552.0,2.9751388E7,0.0
208,com.google.wear.sensor.ppg,2022-11-06T00:49:37.115,3471699777468,9649090.0,2.9751304E7,0.0
209,com.google.wear.sensor.ppg,2022-11-06T00:49:37.115,3471709711425,9642181.0,2.9755148E7,0.0
210,com.google.wear.sensor.ppg,2022-11-06T00:49:37.116,3471719645382,9643369.0,2.9753284E7,0.0
211,com.google.wear.sensor.ppg,2022-11-06T00:49:37.252,3471729579354,9647300.0,2.9753868E7,0.0
212,com.google.wear.sensor.ppg,2022-11-06T00:49:37.254,3471739504591,9644490.0,2.97518E7,0.0
213,com.google.wear.sensor.ppg,2022-11-06T00:49:37.255,3471749429828,9643557.0,2.9752176E7,0.0
214,com.google.wear.sensor.ppg,2022-11-06T00:49:37.255,3471759355065,9641690.0,2.9757916E7,0.0
215,com.google.wear.sensor.ppg,2022-11-06T00:49:37.256,3471769280302,9643369.0,2.9757332E7,0.0
216,com.google.wear.sensor.ppg,2022-11-06T00:49:37.257,3471779205539,9643132.0,2.9749586E7,0.0
217,com.google.wear.sensor.ppg,2022-11-06T00:49:37.258,3471789130776,9644122.0,2.9751244E7,0.0
218,com.google.wear.sensor.ppg,2022-11-06T00:49:37.259,3471799056013,9643161.0,2.9761672E7,0.0
219,com.google.wear.sensor.ppg,2022-11-06T00:49:37.260,3471808981250,9644075.0,2.9744428E7,0.0
220,com.google.wear.sensor.ppg,2022-11-06T00:49:37.261,3471818906487,9643105.0,2.9750254E7,0.0
221,com.google.wear.sensor.ppg,2022-11-06T00:49:37.262,3471828831724,9640503.0,2.97654E7,0.0
222,com.google.wear.sensor.ppg,2022-11-06T00:49:37.264,3471838756961,9643972.0,2.9760712E7,0.0
223,com.google.wear.sensor.ppg,2022-11-06T00:49:37.265,3471848682198,9644208.0,2.9759342E7,0.0
224,com.google.wear.sensor.ppg,2022-11-06T00:49:37.265,3471858607435,9646216.0,2.9761088E7,0.0
225,com.google.wear.sensor.ppg,2022-11-06T00:49:37.266,3471868532672,9644670.0,2.9765664E7,0.0
226,com.google.wear.sensor.ppg,2022-11-06T00:49:37.267,3471878457909,9646894.0,2.9756604E7,0.0
227,com.google.wear.sensor.ppg,2022-11-06T00:49:37.267,3471888383146,9644453.0,2.9759226E7,0.0
228,com.google.wear.sensor.ppg,2022-11-06T00:49:37.268,3471898308383,9644905.0,2.9755324E7,0.0
229,com.google.wear.sensor.ppg,2022-11-06T00:49:37.269,3471908233620,9643132.0,2.976782E7,0.0
230,com.google.wear.sensor.ppg,2022-11-06T00:49:37.270,3471918158857,9643962.0,2.9755702E7,0.0
231,com.google.wear.sensor.ppg,2022-11-06T00:49:37.270,3471928084094,9645621.0,2.9755208E7,0.0
232,com.google.wear.sensor.ppg,2022-11-06T00:49:37.462,3471938009338,9641493.0,2.9753256E7,0.0
233,com.google.wear.sensor.ppg,2022-11-06T00:49:37.463,3471947927309,9649336.0,2.9764468E7,0.0
234,com.google.wear.sensor.ppg,2022-11-06T00:49:37.464,3471957845280,9637231.0,2.9743176E7,0.0
235,com.google.wear.sensor.ppg,2022-11-06T00:49:37.465,3471967763251,9644830.0,2.9746292E7,0.0
236,com.google.wear.sensor.ppg,2022-11-06T00:49:37.466,3471977681222,9643962.0,2.9755208E7,0.0
237,com.google.wear.sensor.ppg,2022-11-06T00:49:37.467,3471987599193,9642246.0,2.9767674E7,0.0
238,com.google.wear.sensor.ppg,2022-11-06T00:49:37.467,3471997517164,9639626.0,2.9757276E7,0.0
239,com.google.wear.sensor.ppg,2022-11-06T00:49:37.468,3472007435135,9644641.0,2.9761176E7,0.0
240,com.google.wear.sensor.ppg,2022-11-06T00:49:37.469,3472017353106,9644680.0,2.9760012E7,0.0
241,com.google.wear.sensor.ppg,2022-11-06T00:49:37.470,3472027271077,9642577.0,2.9758176E7,0.0
242,com.google.wear.sensor.ppg,2022-11-06T00:49:37.471,3472037189048,9645292.0,2.9752876E7,0.0
243,com.google.wear.sensor.ppg,2022-11-06T00:49:37.472,3472047107019,9644104.0,2.9749176E7,0.0
244,com.google.wear.sensor.ppg,2022-11-06T00:49:37.474,3472057024990,9643925.0,2.9765256E7,0.0
245,com.google.wear.sensor.ppg,2022-11-06T00:49:37.474,3472066942961,9641719.0,2.9763072E7,0.0
246,com.google.wear.sensor.ppg,2022-11-06T00:49:37.476,3472076860932,9643737.0,2.976543E7,0.0
247,com.google.wear.sensor.ppg,2022-11-06T00:49:37.476,3472086778888,9641219.0,2.9766652E7,0.0
248,com.google.wear.sensor.ppg,2022-11-06T00:49:37.477,3472096696859,9643717.0,2.9762196E7,0.0
249,com.google.wear.sensor.ppg,2022-11-06T00:49:37.478,3472106614830,9642633.0,2.9751128E7,0.0
